"STATUS_0","Incomplete or invalid"
"Error, transaction count is %s instead of 1 for the Payid ""%s"", order ""%s"" and Operation ""%s"".","Error, transaction count is %s instead of 1 for the Payid ""%s"", order ""%s"" and Operation ""%s""."
"Order can not be saved.","Order can not be saved."
"Order can not be canceled for system reason.","Order can not be canceled for system reason."
"Order declined on ops side. Ingenico Payment Services status: %s, Payment ID: %s.","Order declined on ops side. Ingenico Payment Services status: %s, Payment ID: %s."
"Order can not be saved for system reason.","Order can not be saved for system reason."
"An unknown exception occured.","An unknown exception occured."
"A technical problem arose during payment process, giving unpredictable result. Ingenico Payment Services status: %s.","A technical problem arose during payment process, giving unpredictable result. Ingenico Payment Services status: %s."
"An unknown exception was thrown in the payment process. Ingenico Payment Services status: %s.","An unknown exception was thrown in the payment process. Ingenico Payment Services status: %s."
"Waiting for the payment of the customer","Waiting for the payment of the customer"
"Authorization waiting from Ingenico Payment Services","Authorization waiting from Ingenico Payment Services"
"Processed by Ingenico Payment Services","Processed by Ingenico Payment Services"
"Waiting for payment. Ingenico Payment Services status: %s.","Waiting for payment. Ingenico Payment Services status: %s."
"Authorization waiting. Ingenico Payment Services status: %s.","Authorization waiting. Ingenico Payment Services status: %s."
"Authorization uncertain. Ingenico Payment Services status: %s.","Authorization uncertain. Ingenico Payment Services status: %s."
"Processed by Ingenico Payment Services. Payment ID: %s. Ingenico Payment Services status: %s.","Processed by Ingenico Payment Services. Payment ID: %s. Ingenico Payment Services status: %s."
"Ingenico Payment Services server is temporarily not available, please try again later.","Ingenico Payment Services server is temporarily not available, please try again later."
"An error occured during the Ingenico Payment Services request. Your action could not be executed. Message: "%s".","An error occured during the Ingenico Payment Services request. Your action could not be executed. Message: "%s"."
"You already sent a capture request. Please wait until the capture request is acknowledged.","You already sent a capture request. Please wait until the capture request is acknowledged."
"There is one void request waiting. Please wait until this request is acknowledged.","There is one void request waiting. Please wait until this request is acknowledged."
"Start Ingenico Payment Services %s capture request","Start Ingenico Payment Services %s capture request"
"Invoice will be created automatically as soon as Ingenico Payment Services sends an acknowledgement. Ingenico Payment Services status: %s.","Invoice will be created automatically as soon as Ingenico Payment Services sends an acknowledgement. Ingenico Payment Services status: %s."
"The Invoice will be created automatically as soon as Ingenico Payment Services sends an acknowledgement.","The Invoice will be created automatically as soon as Ingenico Payment Services sends an acknowledgement."
"The Invoice was not created. Ingenico Payment Services status: %s.","The Invoice was not created. Ingenico Payment Services status: %s."
"The CreditMemo was not created. Ingenico Payment Services status: %s.","The CreditMemo was not created. Ingenico Payment Services status: %s."
"The Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement.","The Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement.","There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement."
"Please use void to cancel the operation.","Please use void to cancel the operation."
"You already sent a void request. Please wait until the void request will be acknowledged.","You already sent a void request. Please wait until the void request will be acknowledged."
"There is one capture request waiting. Please wait until this request is acknowledged.","There is one capture request waiting. Please wait until this request is acknowledged."
"The void request is sent. Please wait until the void request will be accepted.","The void request is sent. Please wait until the void request will be accepted."
"Void order succeed. Ingenico Payment Services status: %s.","Void order succeed. Ingenico Payment Services status: %s."
"Void order failed. Ingenico Payment Services status: %s.","Void order failed. Ingenico Payment Services status: %s."
"Authorization","Authorization"
"Direct Sale","Direct Sale"
"Horizontally grouped logo with group name on left","Horizontally grouped logo with group name on left"
"Horizontally grouped logo with no group name","Horizontally grouped logo with no group name"
"Verical list","Verical list"
"You will be redirected to the payment page after the order confirmation.","You will be redirected to the payment page after the order confirmation."
"Payment failed. Please select another payment method.","Payment failed. Please select another payment method."
"Payment failed. Please review your input or select another payment method.","Payment failed. Please review your input or select another payment method."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Credit Card Type","Credit Card Type"
"Name on Card","Name on Card"
"Credit Card Number","Credit Card Number"
"Card Verification Number","Card Verification Number"
"Expiration Date","Expiration Date"
"Account holder","Account holder"
"Account number","Account number"
"Bank code","Bank code"
"BCMC","Bancontact/Mister Cash"
"You will be redirected to Ingenico Payment Services website when you place an order.","You will be redirected to Ingenico Payment Services website when you place an order."
"Please wait a moment. This page will transfer your data to Ingenico Payment Services payment gateway in a few seconds.","Please wait a moment. This page will transfer your data to Ingenico Payment Services payment gateway in a few seconds."
"An error occured during 3D-Secure processing of Ingenico Payment Services. Error: %s","Error during 3D-Secure processing of Ingenico Payment Services. Error: %s"
"PSPID is a case sensitive field","PSPID is a case sensitive field"
"SHA-IN Pass phrase","SHA-IN Pass phrase"
"Refer to Ingenico Payment Services's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>.","Refer to Ingenico Payment Services's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>."
"SHA-OUT Pass phrase","SHA-OUT Pass phrase"
"Refer to Ingenico Payment Services's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>.","Refer to Ingenico Payment Services's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>."
"Test url example: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp","Test url example: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp"
"Test url example: https://secure.ogone.com/ncol/test/alias_gateway_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/alias_gateway_utf8.asp","Test url example: https://secure.ogone.com/ncol/test/alias_gateway_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/alias_gateway_utf8.asp"
"Test url example: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/maintenancedirect.asp","Test url example: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/maintenancedirect.asp"
"Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderdirect.asp","Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderdirect.asp"
"API User","API User"
"API Password","API Password"
"Payment Action","Payment Action"
"If you choose ""Ingenico Payment Services"", you will need to fill in all the following fields.","If you choose ""Ingenico Payment Services"", you will need to fill in all the following fields."
"Payment Template","Payment Template"
"Title of the Ingenico Payment Services Template","Title of the Ingenico Payment Services Template"
"Background Color of Ingenico Payment Services Template","Background Color of Ingenico Payment Services Template"
"Text Color of the Ingenico Payment Services Template","Text Color of the Ingenico Payment Services Template"
"Table Background Color of the Ingenico Payment Services Template","Table Background Color of the Ingenico Payment Services Template"
"Table Text Color of the Ingenico Payment Services Template","Table Text Color of the Ingenico Payment Services Template"
"Button Background Color of the Ingenico Payment Services Template","Button Background Color of the Ingenico Payment Services Template"
"Button Text Color of the Ingenico Payment Services Template","Button Text Color of the Ingenico Payment Services Template"
"Font Family of the Ingenico Payment Services Template","Font Family of the Ingenico Payment Services Template"
"Logo of the Ingenico Payment Services Template","Logo of the Ingenico Payment Services Template"
"Layout of Payment Methods","Layout of Payment Methods"
"e.g: white","e.g: white"
"e.g: black","e.g: black"
"e.g: Verdana","e.g: Verdana"
"Debug","Debug"
"Ingenico Payment Services Account","Ingenico Payment Services Account"
"devprefix", "Prefix for parameter ORDERID"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.","URL/filename of the logo. The URL must be absolute and stored on a secure server."
"Countries","Countries"
"Card Types","Card Types"
"Enable 3D secure","Enable 3D secure"
"OWNERADDRESS","Invoiced customer's address"
"ECOM_BILLTO_POSTAL_STREET_NUMBER","House number of invoicing address"
"ECOM_SHIPTO_POSTAL_STREET_LINE1","Delivery address"
"ECOM_SHIPTO_POSTAL_STREET_NUMBER","Delivery house number"
"Please make sure that your street and house number are correct!","Please make sure that your street and house number are correct!"
"Brand", "Brand"
"Add Brand", "Add Brand"
"Add one or more brands. In field ""BRAND"" you will have to enter the value you got from Ingenico Payment Services.", "Add one or more brands. In field ""BRAND"" you will have to enter the value you got from Ingenico Payment Services."
"Title", "Title"
"Please select a brand", "Please select a brand"
"Attention: This may be an attempt to defraud!","Attention: This may be an attempt to defraud!"
"This might be a fraud attempt. Please check details for more information.", "This might be a fraud attempt. Please check details for more information."
"Scoring Category: G","Scoring Categorie: G (Green)"
"Scoring Category: O","Scoring Categorie: O (Orange)"
"Scoring Value: %s","Scoring Value: %s"
"SCORING_DESCRIPTION_AAVCHECK","Result of the automatic address verification. This verification is currently supported by American Express only.<br /><br />Possible values:<br /><br />KO: The address has been sent but the acquirer has given a negative response for the address check, i.e. the address is wrong.<br />OK: The address has been sent and the acquirer has returned a positive response for the address check, i.e. the address is correct.<br />NO: All other cases. For instance, no address transmitted."
"SCORING_DESCRIPTION_CVCCHECK","Result of the card verification code check.<br /><br />Possible values:<br /><br />KO: The CVC has been sent but the acquirer has given a negative response to the CVC check, i.e. the CVC is wrong.<br />OK: The CVC has been sent and the acquirer has given a positive response to the CVC check, i.e. the CVC is correct.<br />NO: All other cases. For instance, no CVC transmitted."
"SCORING_DESCRIPTION_CCCTY","Country where the card was issued"
"SCORING_DESCRIPTION_IPCTY","Originating country of the IP address"
"SCORING_DESCRIPTION_NBREMAILUSAGE","Number of times an email address has been used over a certain period"
"SCORING_DESCRIPTION_NBRIPUSAGE","Number of times an IP address has been used for successful transactions over a certain period"
"SCORING_DESCRIPTION_NBRIPUSAGE_ALLTX","Number of times an IP address has been used for successful and/or declined transactions over a certain period"
"SCORING_DESCRIPTION_NBRUSAGE","Number of times a credit card has been used over a certain period"
"SCORING_DESCRIPTION_VC","Virtual Card"
"SCORING_DESCRIPTION_CARDNO","Card number or account number"
"SCORING_DESCRIPTION_ED","Expiry date"
"SCORING_DESCRIPTION_CN","Card holder name"
"directebanking.de For the German subsidiaries only!", "directebanking.de For the German subsidiaries only!"
"Sofort Uberweisung","Sofort Überweisung"
"DirectEbanking", "sofortüberweisung.de"
"DirectEbankingAT", "Sofort Überweisung (AT)"
"DirectEbankingBE", "Direct Ebanking (BE)"
"DirectEbankingCH", "Sofort Überweisung (CH)"
"DirectEbankingDE", "Sofort Überweisung (DE)"
"DirectEbankingFR", "Direct Ebanking (FR)"
"DirectEbankingGB", "Direct Ebanking (GB)"
"Card Verification Number","CVC / Issue number"
"Invalid payment information provided!", "Invalid payment information provided!"
"Unknown Ingenico Payment Services state for this order. Please check Ingenico Payment Services backend for this order.", "Unknown Ingenico Payment Services state for this order. Please check Ingenico Payment Services backend for this order."
"The order was cancelled manually. The Ingenico Payment Services-state is 0 or null.","The order was cancelled manually. The Ingenico Payment Services-state is 0 or null."
"Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico Payment Services before. By cancelling this order you won\'t be able to update the status in Magento anymore.","Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico Payment Services before. By cancelling this order you won\'t be able to update the status in Magento anymore."
"Last refund (Close payment transaction)", "Last refund (Close payment transaction)"
"Only offline refund is available, since Ingenico Payment Services transaction is already closed.", "Only offline refund is available, since Ingenico Payment Services transaction is already closed."
"If this checkbox is marked, the refund will be final : the transaction will be closed and it will not be possible to perform any further refund for this transaction.", "If this checkbox is marked, the refund will be final : the transaction will be closed and it will not be possible to perform any further refund for this transaction."
"Order reference in case of redirect payments", "Order reference in case of redirect payments"
"See chapter 'configuration', section 'Magento - Backend in the documentation'. Please note that the option 'orderId' is not used for inline payments and the Kwixo payment methods.", "See chapter 'configuration', section 'Magento - Backend in the documentation'. Please note that the option 'orderId' is not used for inline payments and the Kwixo payment methods."
"quote id", "Quote ID"
"order id", "Order ID"
"Enable tracking code", "Enable tracking code for fraud detection"
"The ID of Tracker Application Account", "The ID of Tracker Application Account"
"Delete","delete"
"active","active"
"Action","Action"
"pending", "pending"
"Kwixo Category Mapping", "Kwixo Category Mapping"
"Please note that a proper category mapping is necessary in order to use this payment method", "Please note that a proper category mapping is necessary in order to use this payment method"
"ECOM_SHIPTO_TELECOM_PHONE_NUMBER", "Delivery customer's phone number"
"ECOM_SHIPTO_POSTAL_NAME_PREFIX", "Delivery customer's salutation"
"CIVILITY", "Invoiced customer's salutation"
"Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico Payment Services before. By cancelling this order you won\'t be able to update the status in Magento anymore.", "Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico Payment Services before. By cancelling this order you won\'t be able to update the status in Magento anymore."
""Error transaction count is %s instead of 1 for the Payid ""%s"""", "Error transaction count is %s instead of 1 for the Payid ""%s"""
"An error occured during the Ingenico Payment Services request. Your action could not be executed. Message: ""%s"".", "An error occured during the Ingenico Payment Services request. Your action could not be executed. Message: ""%s""."

"--Please select--","--Please select--"
"Pick up at merchant","Pick up at merchant"
"Collection point (Kiala...)","Collection point (Kiala...)"
"Collect at airport, train station or travel agency","Collect at airport, train station or travel agency"
"Transporter (La Poste, UPS...)","Transporter (La Poste, UPS...)"
"Download","Download"
"Food & gastronomy","Food & gastronomy"
"Car & Motorbike", "Car & Motorbike"
"Culture & leisure","Culture & leisure"
"Home & garden","Home & garden"
"Appliances","Appliances"
"Auctions and bulk purchases","Auctions and bulk purchases"
"Flowers & gifts","Flowers & gifts"
"Computer & software","Computer & software"
"Health & beauty","Health & beauty"
"Services for individuals","Services for individuals"
"Services for professionals","Services for professionals"
"Sports", "Sports"
"Clothing & accessories", "Clothing & accessories"
"Travel & tourism","Travel & tourism"
"Hifi, photo & video","Hifi, photo & video"
"Telephony & communication","Telephony & communication"
"Jewelry & precious metals","Jewelry & precious metals"
"Baby articles and accessories","Baby articles and accessories"
"Sound & light","Sound & light"
"An error occured during 3D-Secure processing of Ingenico Payment Services.", "An error occured during 3D-Secure processing of Ingenico Payment Services."
"Ingenico Payment Services server is temporarily not available", "Ingenico Payment Services server is temporarily not available"
"Country", "Country"
"Enable redirect payment for all card types", "Enable redirect payment for all card types"
"Enable inline payment for these card types", "Enable inline payment for these card types"
"Miscellaneous Countries", "Miscellaneous Countries"
"Please make sure that you enabled customer gender and customer date of birth in customer attributes configuration. Otherwise this payment method won't be available. Please be informed that when you use Afterpay or Klarna as acquirer on Ingenico Payment Services side, it's not possible to perform partial captures.", "Please make sure that you enabled customer gender and customer date of birth in customer attributes configuration. Otherwise this payment method won't be available. Please be informed that when you use Afterpay or Klarna as acquirer on Ingenico Payment Services side, it's not possible to perform partial captures."
"Your details", "Your details"
"Ingenico Payment Services Payment failed", "Ingenico Payment Services Payment failed"
"Enable for backend", "Enable for backend"
"Sort Order for backend", "Sort Order for backend"
"Existing Ingenico Payment Services transaction", "Existing Ingenico Payment Services transaction"
"Ingenico Payment Services payment id", "Ingenico Payment Services payment id"
"Please use this method for the following brands only:", "Please use this method for the following brands only:"
"Payment using 3D secure is not supported.", "Payment using 3D secure is not supported."
"My payment information", "My payment information"
"Payment Method", "Payment Method"
"Card Number/Account Number", "Card Number/Account Number"
"expires: %s", "expires: %s"
"Save payment information", "Save payment information"
"You don't want to enter your payment information again? Just %s to save your credit card information securely!", "You don't want to enter your payment information again? Just %s to save your credit card information securely!"
"register", "register"
"Removed alias %s.", "Removed alias %s."
"Could not remove alias %s.", "Could not remove alias %s."
"Show information for guests", "Show information for guests"
"If this checkbox is marked, the refund will be final: the transaction will be closed and it will not be possible to perform any further refund for this transaction.", "If this checkbox is marked, the refund will be final: the transaction will be closed and it will not be possible to perform any further refund for this transaction."
"Show Quote ID in the order grid", "Show Quote ID in the order grid"
"The ID of Tracker Application Account.", "The ID of Tracker Application Account."
"Enabled Alias Manager", "Enabled Alias Manager"
"Show Alias Manager information for guests", "Show Alias Manager information for guests"
"State", "State"
"Card Holder", "Card Holder"
"You did not save any payment information, yet.", "You did not save any payment information, yet."
"Please make sure that the displayed data is correct.", "Please make sure that the displayed data is correct."
"Year of Expiration Date", "Year of Expiration Date"
"Month of Expiration Date", "Month of Expiration Date"
"Kwixo category", "Kwixo category"
"Apply to sub-categories", "Apply to sub-categories"
"Categories configuration", "Categories configuration"
"Categorie's %s configuration", "Categorie's %s configuration"
"Estimated Delivery Date", "Estimated delivery delay (in days)"
"RNP Fee", "RNP Fee"
"Shipping Method Type", "Shipping Method Type"
"Shipping method speed", "Shipping method speed"
"Shipping Method Details", "Shipping Method Details"
"An error occured during 3D-Secure processing of Ingenico Payment Services.", "An error occured during 3D-Secure processing of Ingenico Payment Services."
"Shipping method type", "Shipping method type"
"Kwixo shipping method type", "Kwixo shipping method type"
"Shipping method speed", "Shipping Speed (in hours)"
"Shipping method details", "Shipping method details"
"shipping details not valid", "Shipping details not valid"
"shipping speed not valid", "Shipping speed not valid"
"shipping type not valid", "Shipping type not valid"
"Default Shipping Method Type", "Default Shipping Method Type"
"Default Shipping method speed", "Default Shipping Speed (in hours)"
"Default Shipping Method Details", "Default Shipping Method Details"
"Kwixo shipping setting", "Kwixo shipping setting"
"Don't forget to set your shipping method to use KWIXO in the best way", "Don't forget to set your shipping method to use KWIXO in the best way"

"Unknown country within the IBAN '%value%'", "Unknown country within the IBAN '%value%'"
"%value%' has a false IBAN format", "%value%' has a false IBAN format"
"'%value%' has failed the IBAN check", "'%value%' has failed the IBAN check"
"Country not supported for IBAN", "Country not supported for IBAN"
"invalid data provided", "Invalid data provided"
"Account holder must be provided", "Account holder must be provided"
"invalid BIC provided", "Invalid BIC provided"
"Invalid IBAN provided", "Invalid IBAN provided"


"Shipping method type", "Shipping method type"
"Kwixo shipping method type", "Kwixo shipping method type"
"Shipping speed (in hours)", "Shipping speed (in hours)"
"Shipping method details", "Shipping method details"

"shipping details not valid", "Shipping details not valid"
"shipping speed not valid", "Shipping speed not valid"
"shipping type not valid", "Shipping type not valid"

"Default Shipping Method Type", "Default Shipping Method Type"
"Default Shipping speed (in hours)", "Default Shipping speed (in hours)"
"Default Shipping Method Details", "Default Shipping Method Details"
"Kwixo shipping setting", "Kwixo shipping setting"

"Don't forget to set your shipping method to use KWIXO in the best way", "Don't forget to set your shipping method to use KWIXO in the best way"

"kwixo_apres_reception_description", ""
"kwixo_payement_en_1_fois_description", ""
"paiement_en_plusiers_fois_description", ""

"DirectLink Maintenance API URL", "DirectLink Maintenance API URL"

"Allow zero amount authorization", "Allow zero amount authorization"
"Only if payment action is authorize.", "Only available if payment action is set to authorize."
"Submit extra parameters", "Submit extra parameters"
"Enable this if you wish to use fraud detection", "Enable this if you wish to use fraud detection"
"The data you have provided can not be processed by Ingenico Payment Services", "The data you have provided can not be processed by Ingenico Payment Services"

"Test url example: https://secure.ogone.com/ncol/prod/querydirect.aspbr />Production url example: https://secure.ogone.com/ncol/prod/querydirect.asp", "Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/querydirect.asp"
"Refresh payment status", "Refresh payment status"
"Ingenico Payment Services status successfully updated", "Ingenico Payment Services status successfully updated"
"revert state update to it\'s original one because of Ingenico Payment Services\'s state restriction", "revert state update to it\'s original one because of Ingenico Payment Services\'s state restriction"
"Please be informed that when you use Afterpay or Klarna as acquirer on Ingenico Payment Services side, it's not possible to perform partial captures", "Please be informed that when you use Afterpay or Klarna as acquirer on Ingenico Payment Services side, it's not possible to perform partial captures"
"Please be informed that, if you use Klarna as acquirer on Ingenico Payment Services side, it's not possible to use adjustment fees/refunds", "Please be informed that, if you use Klarna as acquirer on Ingenico Payment Services side, it's not possible to use adjustment fees/refunds"
